WORD TO SEARCH,LINKED LIST SET TIME,HASH TABLE SET TIME,BINARY TREE SET TIME
invaluable,64500,1400,400
morality,63500,2300,800
begins,63500,1300,800
cherish,87600,2900,400
attendant,14800,800,1000
picture,64600,1500,600
undoubtedly,65300,2700,600
flirting,35900,800,700
our,70300,1000,400
flow,62200,2000,500
itself,69100,2700,600
spirit,71600,2000,600
untitled,10800,400,1100
cool,61900,1800,400
eclipsed,58200,1700,600
inconsiderable,62700,2400,400
This,75400,1300,300
concerto,68600,3200,600
parent,20100,400,900
dutifully,54800,1400,400
empty,52200,1000,700
alliance,64300,2000,400
attraction,33000,1400,600
Dining,67100,1600,400
agree,71300,2200,400
advancement,40100,1600,700
deserted,22200,1300,900
doubting,55000,1700,600
Scotland,24900,800,700
struggles,52800,1500,1100
capital,69800,2400,400
forwards,16600,500,900
shrewish,22800,600,900
intended,73300,1400,500
sour,54800,3700,800
flutterings,21600,700,800
elevation,65900,900,900
annoyed,85100,1900,400
whispered,29300,1500,800
pleasantry,9600,500,900
Birmingham,27200,1100,700
cows,47800,1300,600
makes,69200,3700,600
every,71200,3000,500
Melan,1200,300,700
embracing,62800,1800,400
satisfy,60400,2600,1300
encumbrance,33800,1400,600
stupidity,56500,1700,1000
synonymously,64000,1500,800
maruf,74900,1000,400
apologised,61000,1800,500
render,71400,1700,700
attracted,63900,3100,400
fugitives,36800,1500,1300
solitude,60400,3000,500
curiosity,72500,3000,400
spreading,17300,400,1200
inn,33300,700,1200
commonly,27200,1000,700
7,85900,3100,500
low,80900,1500,500
observer,42100,1700,700
theirs,67500,2500,500
overspread,58600,2200,1000
bitterness,69600,1900,500
professed,56200,2300,1000
disclaim,49600,2000,22600
innocently,13700,1000,1300
disconcerted,83500,2500,500
piqued,69500,2100,500
power,68800,1400,400
congenial,35300,2100,800
Professor,400,300,400
distressing,57800,2400,600
Section,5400,400,900
regiment,65500,700,700
elect,2600,400,500
reasons,57100,4200,800
ardently,44400,1800,500
selfish,75700,1400,600
repulsive,38900,2400,1000
Pratt,35200,1300,500
welcoming,36500,1500,700
diffuse,32200,600,700
Courier,13300,400,600
amaze,55500,2500,400
defense,60600,2500,600
give,120300,1900,300
connections,64300,2000,400
defend,59600,1500,500
heretofore,6600,1100,800
procured,58500,900,800
repulsed,58100,1300,800
youths,33400,1300,700
younger,70500,1500,400
negligence,47700,900,700
comprised,57000,2700,700
press,70000,3300,400
handwriting,62100,1900,500
stayed,54500,1000,1000
captivation,62500,2300,300
memories,106300,2300,700
apologies,69100,3400,400
sorry,107500,4800,1100
excited,99500,2800,500
decease,81500,3300,500
magistrate,67000,20000,800
invited,91500,1300,400
intolerable,68500,4100,600
duets,64400,2700,600
fastidious,70600,1700,400
Captain,68400,1500,400
endeavour,95200,2100,500
noticed,78100,3200,700
letters,88000,4600,1100
nieces,87300,3600,500
something,89400,2100,900
multitude,17200,1300,700
affliction,17900,600,1000
unpleasantly,35000,700,1600
exists,1800,500,1200
emptiness,32400,700,900
omit,58600,1400,800
wine,68100,3300,1200
vogue,68000,2700,600
facility,200,400,600
anguish,23800,1700,400
step,104400,4800,15300
UT,1200,200,1300
windings,31500,1500,1500
repressing,56400,1900,1700
joking,8200,600,900
emphatic,76800,4900,500
discretion,71500,2700,600
arm,60600,3700,600
seven,70600,1300,1400
whole,70800,2700,500
condescend,65000,2900,600
shaking,63200,4300,700
affect,77900,3400,400
sentences,37300,2800,1100
proclaim,61300,2700,900
prey,32700,1700,1100
doubtful,94100,3500,500
indispensably,50800,1100,900
Heaven,74200,2900,500
beaux,56600,3300,500
judged,78800,2800,900
restoring,37600,1900,1100
originator,400,300,700
immediately,71600,3000,400
acquaint,67000,2000,400
extent,66300,2400,700
tried,63100,2700,1100
obtaining,5400,300,1200
extravagance,56200,2000,400
box,37300,1000,800
wrong,66800,3400,600
draughts,68000,2200,400
depreciate,63300,2300,1100
penitent,58000,2200,1100
fight,21700,600,800
provoke,66400,900,900
Archbishop,59500,2000,500
conceit,65200,800,600
probably,67300,3600,500
sentiment,59300,1200,1400
venturing,60400,3200,700
irritation,57900,2200,900
recommenced,59200,2300,1100
concerned,65000,3300,700
assertion,62300,1400,500
threats,20000,1500,1000
tries,54700,3700,900
inns,24500,1100,1400
insolent,62900,1400,800
thirteen,14100,900,1000
careful,62900,3100,600
ceremony,61200,3900,500
foundation,57200,1200,600
